prefektur_en,kategori_biaya_id,tipe_kriteria_biaya,biaya_hidup_nominal_yen
Aichi,Biaya Hidup Bulanan,Cost,294920
Akita,Biaya Hidup Bulanan,Cost,267240
Aomori,Biaya Hidup Bulanan,Cost,254200
Chiba,Biaya Hidup Bulanan,Cost,312620
Ehime,Biaya Hidup Bulanan,Cost,241760
Fukui,Biaya Hidup Bulanan,Cost,273700
Fukuoka,Biaya Hidup Bulanan,Cost,297440
Fukushima,Biaya Hidup Bulanan,Cost,293620
Gifu,Biaya Hidup Bulanan,Cost,306180
Gunma,Biaya Hidup Bulanan,Cost,294320
Hiroshima,Biaya Hidup Bulanan,Cost,293480
Hokkaido,Biaya Hidup Bulanan,Cost,286040
Hyogo,Biaya Hidup Bulanan,Cost,282880
Ibaraki,Biaya Hidup Bulanan,Cost,294400
Ishikawa,Biaya Hidup Bulanan,Cost,306680
Iwate,Biaya Hidup Bulanan,Cost,288300
Kagawa,Biaya Hidup Bulanan,Cost,282800
Kagoshima,Biaya Hidup Bulanan,Cost,283760
Kanagawa,Biaya Hidup Bulanan,Cost,306940
Kochi,Biaya Hidup Bulanan,Cost,286700
Kumamoto,Biaya Hidup Bulanan,Cost,296940
Kyoto,Biaya Hidup Bulanan,Cost,289420
Mie,Biaya Hidup Bulanan,Cost,296020
Miyagi,Biaya Hidup Bulanan,Cost,291500
Miyazaki,Biaya Hidup Bulanan,Cost,262820
Nagano,Biaya Hidup Bulanan,Cost,297660
Nagasaki,Biaya Hidup Bulanan,Cost,261480
Nara,Biaya Hidup Bulanan,Cost,305140
Niigata,Biaya Hidup Bulanan,Cost,296900
Oita,Biaya Hidup Bulanan,Cost,288040
Okayama,Biaya Hidup Bulanan,Cost,293460
Okinawa,Biaya Hidup Bulanan,Cost,240740
Osaka,Biaya Hidup Bulanan,Cost,262660
Saga,Biaya Hidup Bulanan,Cost,280900
Saitama,Biaya Hidup Bulanan,Cost,333620
Shiga,Biaya Hidup Bulanan,Cost,309480
Shimane,Biaya Hidup Bulanan,Cost,286680
Shizuoka,Biaya Hidup Bulanan,Cost,299920
Tochigi,Biaya Hidup Bulanan,Cost,302580
Tokushima,Biaya Hidup Bulanan,Cost,293440
Tokyo,Biaya Hidup Bulanan,Cost,332340
Tottori,Biaya Hidup Bulanan,Cost,286480
Toyama,Biaya Hidup Bulanan,Cost,319280
Wakayama,Biaya Hidup Bulanan,Cost,252040
Yamagata,Biaya Hidup Bulanan,Cost,307520
Yamaguchi,Biaya Hidup Bulanan,Cost,292500
Yamanashi,Biaya Hidup Bulanan,Cost,290100
