prefektur_en,kategori_biaya_id,tipe_kriteria_sewa,biaya_sewa_nominal_yen
Aichi,Biaya Sewa Bulanan,Cost,16645
Akita,Biaya Sewa Bulanan,Cost,12628
Aomori,Biaya Sewa Bulanan,Cost,13927
Chiba,Biaya Sewa Bulanan,Cost,20118
Ehime,Biaya Sewa Bulanan,Cost,15187
Fukui,Biaya Sewa Bulanan,Cost,14644
Fukuoka,Biaya Sewa Bulanan,Cost,23046
Fukushima,Biaya Sewa Bulanan,Cost,18345
Gifu,Biaya Sewa Bulanan,Cost,14575
Gunma,Biaya Sewa Bulanan,Cost,16167
Hiroshima,Biaya Sewa Bulanan,Cost,22220
Hokkaido,Biaya Sewa Bulanan,Cost,25260
Hyogo,Biaya Sewa Bulanan,Cost,19169
Ibaraki,Biaya Sewa Bulanan,Cost,18085
Ishikawa,Biaya Sewa Bulanan,Cost,15148
Iwate,Biaya Sewa Bulanan,Cost,21664
Kagawa,Biaya Sewa Bulanan,Cost,19555
Kagoshima,Biaya Sewa Bulanan,Cost,21182
Kanagawa,Biaya Sewa Bulanan,Cost,21806
Kochi,Biaya Sewa Bulanan,Cost,21788
Kumamoto,Biaya Sewa Bulanan,Cost,24401
Kyoto,Biaya Sewa Bulanan,Cost,18954
Mie,Biaya Sewa Bulanan,Cost,18411
Miyagi,Biaya Sewa Bulanan,Cost,24421
Miyazaki,Biaya Sewa Bulanan,Cost,15355
Nagano,Biaya Sewa Bulanan,Cost,18107
Nagasaki,Biaya Sewa Bulanan,Cost,19946
Nara,Biaya Sewa Bulanan,Cost,19407
Niigata,Biaya Sewa Bulanan,Cost,19769
Oita,Biaya Sewa Bulanan,Cost,21342
Okayama,Biaya Sewa Bulanan,Cost,18089
Okinawa,Biaya Sewa Bulanan,Cost,25773
Osaka,Biaya Sewa Bulanan,Cost,20264
Saga,Biaya Sewa Bulanan,Cost,19894
Saitama,Biaya Sewa Bulanan,Cost,18091
Shiga,Biaya Sewa Bulanan,Cost,16756
Shimane,Biaya Sewa Bulanan,Cost,17246
Shizuoka,Biaya Sewa Bulanan,Cost,18828
Tochigi,Biaya Sewa Bulanan,Cost,17314
Tokushima,Biaya Sewa Bulanan,Cost,17464
Tokyo,Biaya Sewa Bulanan,Cost,28179
Tottori,Biaya Sewa Bulanan,Cost,19244
Toyama,Biaya Sewa Bulanan,Cost,16024
Wakayama,Biaya Sewa Bulanan,Cost,14336
Yamagata,Biaya Sewa Bulanan,Cost,18369
Yamaguchi,Biaya Sewa Bulanan,Cost,19417
Yamanashi,Biaya Sewa Bulanan,Cost,18518
