tab_code,表章項目,cat01_code,産業分類,cat02_code,性別_基本,area_code,地域,time_code,時間軸（2020～2023）,unit,value,annotation
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,0,全国,2023000000,2023年,千円,366.7,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,0,全国,2022000000,2022年,千円,347.4,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,0,全国,2021000000,2021年,千円,323.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,0,全国,2020000000,2020年,千円,338.6,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,1000,北海道,2023000000,2023年,千円,288.8,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,1000,北海道,2022000000,2022年,千円,339.6,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,1000,北海道,2021000000,2021年,千円,284.0,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,1000,北海道,2020000000,2020年,千円,308.4,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,2000,青森県,2023000000,2023年,千円,295.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,2000,青森県,2022000000,2022年,千円,286.4,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,2000,青森県,2021000000,2021年,千円,277.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,2000,青森県,2020000000,2020年,千円,272.0,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,3000,岩手県,2023000000,2023年,千円,240.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,3000,岩手県,2022000000,2022年,千円,245.9,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,3000,岩手県,2021000000,2021年,千円,243.8,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,3000,岩手県,2020000000,2020年,千円,258.2,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,4000,宮城県,2023000000,2023年,千円,286.6,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,4000,宮城県,2022000000,2022年,千円,276.9,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,4000,宮城県,2021000000,2021年,千円,273.9,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,4000,宮城県,2020000000,2020年,千円,287.3,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,5000,秋田県,2023000000,2023年,千円,266.7,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,5000,秋田県,2022000000,2022年,千円,253.6,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,5000,秋田県,2021000000,2021年,千円,236.1,
10,所定内給与額,2,Ｃ 鉱業，採石業，砂利採取業,1,男女計,5000,秋田県,2020000000,2020年,千円,260.9,
